Date,Average Power,Maximum Power,Minimum Power,Total Energy Consumed
2019/11/20,8751.396748423265,13761.71,6470.15,24976486.319999978
2019/11/21,9237.847476406852,15458.38,4923.5,26429481.62999996
2019/11/22,8829.193286713287,15585.44,0.0,25251492.800000068
2019/11/23,7450.903097083794,10475.54,2267.73,20184496.490000024
2019/11/24,7545.875588440112,10766.29,5275.85,21671754.690000013
2019/11/25,8421.255201542237,14821.32,6129.95,24025841.089999996
2019/11/26,8484.983967144355,14935.74,6401.42,24275539.129999965
2019/11/27,8344.591970013948,13669.06,5305.37,23932289.77000004
2019/11/28,8552.265193447194,13607.91,6213.78,24536448.83999998
2019/11/29,8428.038785340314,13299.65,5770.31,24146331.12000001
2019/11/30,7219.128053880177,10909.91,5224.65,17953971.46999998
2019/12/02,6493.756501377411,6716.7,6334.62,2357233.610000001
2019/12/03,8114.435509065551,13381.11,5692.91,23272201.039999988
2019/12/04,8265.212039106145,14618.86,6374.72,23671567.279999956
2019/12/05,8383.819885217392,13432.18,6278.32,24103482.16999995
2019/12/06,8061.218210306406,13178.72,6267.64,23151818.700000055
2019/12/07,6821.303816019587,9680.49,5182.91,19502107.60999999
2019/12/08,6891.721278825996,10276.36,5475.18,19724106.299999982
2019/12/09,8006.563242670434,12917.66,5562.98,22666580.540000007
2019/12/10,8384.901611440531,13850.4,5343.49,24039512.92000003
2019/12/11,8748.638329238329,19360.58,1924.86,24924870.599999953
2019/12/12,8109.553898601398,14626.93,5551.81,23193324.14999996
2019/12/13,7705.556133984648,12818.7,5435.3,22084123.880000014
2019/12/14,7180.548958990535,10066.86,5398.71,20486106.179999962
2019/12/15,6855.737892869811,10083.91,5916.18,19326325.11999998
2019/12/16,7283.696333565459,10915.07,5574.76,20918775.870000012
2019/12/17,7533.450501917044,11498.45,6102.48,21613469.489999983
2019/12/18,7499.127124912771,10778.83,5151.43,21492498.340000015
2019/12/19,7797.416583159359,12611.67,3959.05,22409775.260000005
2019/12/20,7934.655618090452,12549.98,6267.42,15789964.679999998
2019/12/23,10808.258935018051,21986.04,6596.53,5987775.449999999
2019/12/30,7516.202284894837,10621.41,5447.05,7861947.589999986
2019/12/31,7103.7030881840365,11168.47,4871.25,20380524.15999996
