Date,Average Power,Maximum Power,Minimum Power,Total Energy Consumed
10/24/2019,10289.24114,16532.54,5742.88,28511487.19
10/25/2019,9894.309675,17690.81,6540.02,28307619.98
10/26/2019,8768.627754,14862.35,5187.01,24902902.82
10/27/2019,8253.340586,13540.32,4762.48,23241407.09
10/28/2019,9899.998934,16989.36,5262.93,28145696.97
10/29/2019,9563.199229,15943.93,6199.66,27274244.2
10/30/2019,9700.922963,10101.64,9229.04,523849.84
11/7/2019,7602.961667,8325.25,7020.08,45617.77
11/8/2019,9347.916759,14790.14,6509.19,3720470.87
11/9/2019,7038.241915,7840.94,5853.07,661594.74
11/10/2019,7100.31444,8029.1,4542.22,1966787.1
11/19/2019,7927.632548,11513.42,1.08,2457566.09
11/20/2019,8751.396748,13761.71,6470.15,24976486.32
11/21/2019,9237.847476,15458.38,4923.5,26429481.63
11/22/2019,8829.193287,15585.44,0.0,25251492.8
11/23/2019,7450.903097,10475.54,2267.73,20184496.49
11/24/2019,7545.875588,10766.29,5275.85,21671754.69
11/25/2019,8421.255202,14821.32,6129.95,24025841.09
11/26/2019,8484.983967,14935.74,6401.42,24275539.13
11/27/2019,8344.59197,13669.06,5305.37,23932289.77
11/28/2019,8552.265193,13607.91,6213.78,24536448.84
11/29/2019,8428.038785,13299.65,5770.31,24146331.12
11/30/2019,7219.128054,10909.91,5224.65,17953971.47
12/2/2019,6493.756501,6716.7,6334.62,2357233.61
12/3/2019,8114.435509,13381.11,5692.91,23272201.04
12/4/2019,8265.212039,14618.86,6374.72,23671567.28
12/5/2019,8383.819885,13432.18,6278.32,24103482.17
12/6/2019,8061.21821,13178.72,6267.64,23151818.7
12/7/2019,6821.303816,9680.49,5182.91,19502107.61
12/8/2019,6891.721279,10276.36,5475.18,19724106.3
12/9/2019,8006.563243,12917.66,5562.98,22666580.54
12/10/2019,8384.901611,13850.4,5343.49,24039512.92
12/11/2019,8748.638329,19360.58,1924.86,24924870.6
12/12/2019,8109.553899,14626.93,5551.81,23193324.15
12/13/2019,7705.556134,12818.7,5435.3,22084123.88
12/14/2019,7180.548959,10066.86,5398.71,20486106.18
12/15/2019,6855.737893,10083.91,5916.18,19326325.12
12/16/2019,7283.696334,10915.07,5574.76,20918775.87
12/17/2019,7533.450502,11498.45,6102.48,21613469.49
12/18/2019,7499.127125,10778.83,5151.43,21492498.34
12/19/2019,7797.416583,12611.67,3959.05,22409775.26
12/20/2019,7934.655618,12549.98,6267.42,15789964.68
12/23/2019,10808.25894,21986.04,6596.53,5987775.45
12/30/2019,7516.202285,10621.41,5447.05,7861947.59
12/31/2019,7103.703088,11168.47,4871.25,20380524.16
1/1/2020,6890.689592,10676.47,0.0,19776279.13
1/2/2020,6999.609219,10802.3,5416.19,20081878.85
1/3/2020,7012.626477,10771.32,5548.26,20084162.23
1/4/2020,6806.164682,9313.91,0.0,18853076.17
1/5/2020,7313.41,7313.41,7313.41,21040680.57
1/6/2020,4046.855533,7313.41,0.0,11606381.67
1/7/2020,0.0,0.0,0.0,0.0
1/8/2020,0.0,0.0,0.0,0.0
1/9/2020,0.0,0.0,0.0,0.0
1/10/2020,0.0,0.0,0.0,0.0
1/11/2020,0.0,0.0,0.0,0.0
1/12/2020,5001.519697,8958.09,0.0,14379369.13
1/13/2020,2954.864816,9242.08,0.0,8049051.76
1/14/2020,0.0,0.0,0.0,0.0
1/15/2020,0.0,0.0,0.0,0.0
1/16/2020,0.0,0.0,0.0,0.0
1/17/2020,3379.592191,10720.2,0.0,9625078.56
1/18/2020,6891.813247,10942.79,6070.45,19800179.46
1/19/2020,6599.915467,9165.47,6010.97,18941757.39
1/20/2020,7301.557815,10902.08,0.0,20553885.25
1/21/2020,6978.721104,9103.69,6243.89,20098716.78
1/22/2020,7505.511254,9597.03,6398.72,21608366.9
1/23/2020,2698.778168,7557.63,0.0,7761686.01
1/24/2020,0.0,0.0,0.0,0.0
